RankMethod,down,ydstogo,yards_gained,first_down_rush,first_down_pass,first_down_penalty,fourth_down_failed,interception,safety,fumble_lost,play_id
Touchdown,2.0,12,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3466
Touchdown,1.0,10,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2824
Touchdown,1.0,10,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1773
Touchdown,1.0,10,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3292
Touchdown,4.0,6,37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3206
Touchdown,4.0,2,37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,436
Touchdown,2.0,10,37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,106
Touchdown,1.0,10,37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1183
Touchdown,3.0,15,36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,790
Touchdown,1.0,10,36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3466
Touchdown,1.0,10,36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2762
Touchdown,1.0,10,36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2055
Touchdown,4.0,3,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3554
Touchdown,3.0,11,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4398
Touchdown,3.0,5,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1577
Touchdown,3.0,2,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3686
Touchdown,1.0,10,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,595
Touchdown,1.0,10,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1182
Touchdown,1.0,10,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1999
Touchdown,1.0,10,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2527
Touchdown,1.0,10,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,425
Touchdown,2.0,6,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,141
Touchdown,4.0,8,34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3944
Touchdown,3.0,12,34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,834
Touchdown,3.0,9,34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1142
Touchdown,1.0,20,34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,278
Touchdown,2.0,9,34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2460
Touchdown,1.0,10,34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3647
Touchdown,1.0,10,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3892
Touchdown,1.0,10,34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,163
Touchdown,1.0,10,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,995
Touchdown,2.0,1,34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3407
Touchdown,3.0,9,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,181
Touchdown,2.0,10,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3151
